"Category","Per Capita Consumption"
"Chhattisgarh<br>2011-12",1319.556995540741
"Tamil Nadu<br>2011-12",1276.574593904261
"Maharashtra<br>2011-12",1204.381255373521
"Kerala<br>2011-12",593.7715657986565
"Goa<br>2011-12",2025.46071566056
"D. & N. Haveli<br>2011-12",13766.55964534192
"Telangana<br>2011-12",
"Daman & Diu<br>2011-12",7785.217344754508
"Puducherry<br>2011-12",2124.710920971992
"Uttar Pradesh<br>2011-12",449.8880953924032
"Madhya Pradesh<br>2011-12",671.5364484551296
"Gujarat<br>2011-12",1663.229504584508
"Andhra Pradesh<br>2011-12",1156.523619527905
"Karnataka<br>2011-12",1081.347369057458
"Uttarakhand<br>2011-12",1232.172013075641
"West Bengal<br>2012-13",593.8552677892066
"N R<br>2012-13",852.0909409941206
"Chhattisgarh<br>2012-13",1495.407441987666
"Haryana<br>2012-13",1722.302462268826
"Tripura<br>2012-13",296.0505963444401
"Jharkhand<br>2012-13",846.8000471181225
"Maharashtra<br>2012-13",1239.33267484701
"Tamil Nadu<br>2012-13",1226.259434140083
"Himachal Pradesh<br>2012-13",1379.776356108594
"Gujarat<br>2012-13",1796.289795254135
"D. & N. Haveli<br>2012-13",14340.73919105203
"Assam<br>2012-13",240.2768661800907
"Telangana<br>2012-13",
"Odisha<br>2012-13",1209.205221701731
"S R<br>2012-13",1093.779064252813
"Manipur<br>2012-13",352.8601133370588
"Kerala<br>2012-13",630.0744141736152
"Punjab<br>2012-13",1761.07939383191
"Uttar Pradesh<br>2012-13",449.9826036717599
"N E R<br>2012-13",298.3259207657813
"Daman & Diu<br>2012-13",7926.745681548375
"Bihar<br>2012-13",145.4159077681867
"A.& N. Islands<br>2012-13",558.9143197337387
"Delhi<br>2012-13",1613.248372272059
"Madhya Pradesh<br>2012-13",752.7357717923064
"Chandigarh<br>2012-13",1167.625289103644
"Andhra Pradesh<br>2012-13",1134.902142389795
"Rajasthan<br>2012-13",981.8541146909365
"E R<br>2012-13",552.1999331477409
"All India<br>2012-13",914.4106342175086
"Karnataka<br>2012-13",1129.091153500797
"Mizoram<br>2012-13",469.3760469655428
"Jammu & Kashmir<br>2012-13",1043.362925035318
"Uttarakhand<br>2012-13",1297.256163976094
"Goa<br>2012-13",2044.903489181473
"Nagaland<br>2012-13",268.4936153837394
"Puducherry<br>2012-13",2135.739481702453
"Lakshadweep<br>2012-13",591.53125
"Sikkim<br>2012-13",861.8029826689187
"Meghalaya<br>2012-13",690.2030455327167
"W R<br>2012-13",1283.784551865696
"Arunachal Pradesh<br>2012-13",718.5679947954914
"Sikkim<br>2013-14",699.7402033456735
"Jammu & Kashmir<br>2013-14",1066.039616219813
"Karnataka<br>2013-14",1179.231624364465
"Daman & Diu<br>2013-14",8003.492181855401
"A.& N. Islands<br>2013-14",368.1818181818182
"West Bengal<br>2013-14",608.5431262542918
"N R<br>2013-14",867.3043693102911
"Nagaland<br>2013-14",258.9646014846784
"Mizoram<br>2013-14",444.683210095706
"S R<br>2013-14",1212.500593252906
"Assam<br>2013-14",280.0097725161667
"Arunachal Pradesh<br>2013-14",502.7349916321127
"W R<br>2013-14",1313.038399420521
"Telangana<br>2013-14",
"Maharashtra<br>2013-14",1183.115011158879
"Tripura<br>2013-14",330.6418687614926
"Himachal Pradesh<br>2013-14",1347.749871476078
"Chhattisgarh<br>2013-14",1600.984714251498
"Chandigarh<br>2013-14",1132.535345327211
"Delhi<br>2013-14",1445.972849335167
"Gujarat<br>2013-14",1972.561582460877
"Haryana<br>2013-14",1773.058931412166
"Jharkhand<br>2013-14",810.3329440993829
"N E R<br>2013-14",316.6124712432917
"Puducherry<br>2013-14",1692.420233159773
"Rajasthan<br>2013-14",1011.187666026283
"Madhya Pradesh<br>2013-14",764.2754987967911
"Goa<br>2013-14",2197.733706816016
"Bihar<br>2013-14",159.8529409995351
"Andhra Pradesh<br>2013-14",1196.120879202944
"All India<br>2013-14",956.6382874171793
"Manipur<br>2013-14",266.4916056764803
"Uttar Pradesh<br>2013-14",471.8877317395355
"Punjab<br>2013-14",1810.000974598693
"D. & N. Haveli<br>2013-14",14515.3312282289
"E R<br>2013-14",578.7030243617072
"Odisha<br>2013-14",1348.595665447304
"Lakshadweep<br>2013-14",664.6153846153846
"Kerala<br>2013-14",645.2608865292179
"Uttarakhand<br>2013-14",1285.251054570845
"Tamil Nadu<br>2013-14",1543.835473423632
"Meghalaya<br>2013-14",683.9920805483611
"Jammu & Kashmir<br>2014-15",1168.655533378731
"Tripura<br>2014-15",303.1428723121847
"Karnataka<br>2014-15",1211.460572677511
"Mizoram<br>2014-15",449.3823135755258
"Haryana<br>2014-15",1909.26312959492
"Meghalaya<br>2014-15",704.4225225670793
"Andhra Pradesh<br>2014-15",1039.713383791741
"Himachal Pradesh<br>2014-15",1336.194344503789
"D. & N. Haveli<br>2014-15",13768.98218317318
"Telangana<br>2014-15",1355.793610581488
"Lakshadweep<br>2014-15",657.1139240506329
"Uttarakhand<br>2014-15",1357.832131230366
"Manipur<br>2014-15",295.2564484515877
"Chhattisgarh<br>2014-15",1719.00232959347
"Goa<br>2014-15",1803.242840691327
"N R<br>2014-15",927.4472606297562
"Arunachal Pradesh<br>2014-15",525.2281515854603
"Assam<br>2014-15",313.9893875383045
"Chandigarh<br>2014-15",1051.995101752389
"Sikkim<br>2014-15",684.9287284144427
"Nagaland<br>2014-15",311.3178403755869
"Rajasthan<br>2014-15",1122.823432186461
"N E R<br>2014-15",338.1996990882613
"Kerala<br>2014-15",671.7228314682081
"Puducherry<br>2014-15",1654.89710389486
"S R<br>2014-15",1270.952443231016
"Maharashtra<br>2014-15",1257.093698563525
"Gujarat<br>2014-15",2104.635177581681
"Jharkhand<br>2014-15",834.8105500927826
"Uttar Pradesh<br>2014-15",501.5950603031251
"Punjab<br>2014-15",1857.881768955849
"E R<br>2014-15",617.9658918367996
"Daman & Diu<br>2014-15",6960.328791907799
"Bihar<br>2014-15",202.942969032726
"Odisha<br>2014-15",1418.993156540122
"Delhi<br>2014-15",1560.64120905821
"Tamil Nadu<br>2014-15",1615.656466433285
"A.& N. Islands<br>2014-15",360.5000000000001
"All India<br>2014-15",1009.60802699043
"W R<br>2014-15",1393.449298571339
"Madhya Pradesh<br>2014-15",812.8007393522602
"West Bengal<br>2014-15",647.3394656199742
"Mizoram<br>2015-16",503.4747699432893
"All India<br>2015-16",1074.646514491741
"Goa<br>2015-16",2737.718408568574
"Haryana<br>2015-16",1936.173907902839
"Bihar<br>2015-16",257.6966004941274
"Chandigarh<br>2015-16",1112.381204219512
"Manipur<br>2015-16",359.9358227519381
"Punjab<br>2015-16",1919.133687123682
"Jharkhand<br>2015-16",884.0527589244919
"Lakshadweep<br>2015-16",648.9
"Meghalaya<br>2015-16",834.871663238337
"Andhra Pradesh<br>2015-16",1229.505368461962
"Karnataka<br>2015-16",1242.305968315896
"Rajasthan<br>2015-16",1163.520696428935
"Puducherry<br>2015-16",1671.924435467329
"Tamil Nadu<br>2015-16",1687.931233682365
"Madhya Pradesh<br>2015-16",928.9487503841348
"Nagaland<br>2015-16",346.0581727733222
"Gujarat<br>2015-16",2247.684627584971
"Tripura<br>2015-16",328.9592505381991
"Uttarakhand<br>2015-16",1431.221357694921
"Daman & Diu<br>2015-16",7835.984085341841
"N R<br>2015-16",956.823041298464
"S R<br>2015-16",1316.319013897225
"Kerala<br>2015-16",704.2244178233667
"Telangana<br>2015-16",1439.405332567708
"Sikkim<br>2015-16",686.5964025507662
"Maharashtra<br>2015-16",1317.661066984002
"A.& N. Islands<br>2015-16",354.5901639344263
"W R<br>2015-16",1515.411984468432
"Delhi<br>2015-16",1556.579126848922
"Assam<br>2015-16",322.235430281311
"West Bengal<br>2015-16",660.4697961624349
"Jammu & Kashmir<br>2015-16",1234.264898314416
"N E R<br>2015-16",368.7988662114752
"Arunachal Pradesh<br>2015-16",600.4394644223413
"Odisha<br>2015-16",1563.568973415207
"E R<br>2015-16",674.7289014029241
"Himachal Pradesh<br>2015-16",1338.86442226547
"D. & N. Haveli<br>2015-16",15137.34770454407
"Uttar Pradesh<br>2015-16",524.4263596116529
"Chhattisgarh<br>2015-16",2022.373610166594
"N R<br>2016-17",1003.380190432491
"Daman & Diu<br>2016-17",7964.842558214385
"Haryana<br>2016-17",1974.596396731067
"Mizoram<br>2016-17",522.676740726218
"Delhi<br>2016-17",1573.994036041755
"D. & N. Haveli<br>2016-17",15782.73149329249
"Gujarat<br>2016-17",2278.981221829
"N E R<br>2016-17",391.5708865212085
"E R<br>2016-17",694.4038226460152
"Nagaland<br>2016-17",344.9255301072017
"Chandigarh<br>2016-17",1127.76809176821
"S R<br>2016-17",1432.192456049946
"Tripura<br>2016-17",470.2362217259833
"Maharashtra<br>2016-17",1307.30167209039
"Madhya Pradesh<br>2016-17",988.8823556727095
"Chhattisgarh<br>2016-17",2016.443385361956
"W R<br>2016-17",1532.616278835662
"All India<br>2016-17",1121.731963055623
"A.& N. Islands<br>2016-17",369.5773381294964
"Himachal Pradesh<br>2016-17",1339.633069216142
"Punjab<br>2016-17",2027.513984025072
"Odisha<br>2016-17",1622.230505114255
"Goa<br>2016-17",2466.490740607783
"Uttar Pradesh<br>2016-17",584.8677925513355
"West Bengal<br>2016-17",664.7390012030029
"Manipur<br>2016-17",325.5254794790442
"Uttarakhand<br>2016-17",1453.681246294659
"Kerala<br>2016-17",762.9710616329155
"Assam<br>2016-17",338.6436831101569
"Sikkim<br>2016-17",806.2267948617098
"Telangana<br>2016-17",1551.434858752189
"Jammu & Kashmir<br>2016-17",1281.727333800735
"Karnataka<br>2016-17",1367.098195597352
"Jharkhand<br>2016-17",915.1535191362353
"Andhra Pradesh<br>2016-17",1318.79550506768
"Arunachal Pradesh<br>2016-17",648.2089337544425
"Puducherry<br>2016-17",1783.748856392829
"Bihar<br>2016-17",271.9533118204711
"Lakshadweep<br>2016-17",633.0731707317074
"Rajasthan<br>2016-17",1165.944476027679
"Tamil Nadu<br>2016-17",1847.372957949282
"Meghalaya<br>2016-17",832.408868010664
"All India<br>2017-18",1149.102247331867
"N R<br>2017-18",1030.857159503247
"Gujarat<br>2017-18",2320.78886453982
"Lakshadweep<br>2017-18",562.8915662650602
"Sikkim<br>2017-18",810.378815926135
"A.& N. Islands<br>2017-18",569.2845236842105
"W R<br>2017-18",1573.276340857091
"Jammu & Kashmir<br>2017-18",1283.579020271447
"Rajasthan<br>2017-18",1178.034763971039
"Puducherry<br>2017-18",1749.294317080541
"Karnataka<br>2017-18",1355.765795056266
"Maharashtra<br>2017-18",1370.992251074262
"Uttar Pradesh<br>2017-18",627.576842103169
"Jharkhand<br>2017-18",926.9433343104535
"Punjab<br>2017-18",2048.950002759592
"Madhya Pradesh<br>2017-18",1019.985433624208
"Odisha<br>2017-18",1592.7010577114
"Arunachal Pradesh<br>2017-18",656.207372505243
"Tamil Nadu<br>2017-18",1834.01332430458
"N E R<br>2017-18",401.42176314609
"Bihar<br>2017-18",280.0164493341018
"West Bengal<br>2017-18",698.9770644741038
"Chandigarh<br>2017-18",1004.309057552078
"E R<br>2017-18",705.9656552334915
"S R<br>2017-18",1465.148983899194
"Kerala<br>2017-18",765.8590813831452
"Daman & Diu<br>2017-18",7902.137256385426
"Delhi<br>2017-18",1563.537111742532
"Andhra Pradesh<br>2017-18",1388.241944070037
"Telangana<br>2017-18",1727.402640415269
"Goa<br>2017-18",2228.940410069215
"Uttarakhand<br>2017-18",1450.120151737476
"Nagaland<br>2017-18",348.2439430146198
"Manipur<br>2017-18",346.7769574996395
"Tripura<br>2017-18",714.1598847483598
"D. & N. Haveli<br>2017-18",15218.04757972968
"Assam<br>2017-18",330.4783567128863
"Himachal Pradesh<br>2017-18",1392.824558703358
